,reviews,compound,sentiment
24,fly amsterdam las vega layover heathrow november day fly weather great since business really need get las vega anticipate check early flight still leave would ample time catch early flight heathrow even take train check accord google flight delay would miss connection accord staff british airway flight delay reason panic get airport still nothing wrong connection hour suppose leave announce plane yet would major delay call customer service tell u go london see want kind assurance could place hotel since would make connect flight refuse give end find direct flight next day convince british airway book u even though want connect u additional layover result approximately hour delay trip way back home lose luggage gate take approximately hour find wrong gate way back try check online portal colleague able check fine afraid overbooked contact customer service time get airport overbooked ground staff nerve tell fault check online since seat premium economy could move regular economy mean someone economy bump plane get london flight back amsterdam delay disabled people board plane still enough wheelchair get take approximately hour boarding could begin finally board tell need new pilot old pilot make many hour wait around still fly u amsterdam arrive amsterdam leave luggage las vega need wait another week give back afterwards make claim soon possible delay hotel cost almost month still reply every time contact claim huge backlog take long process,-0.8458,Negative
25,first good news club suite huge improvement old business seat hope never see one good news afraid say flight food really go downhill since last flight presumably cost cutting measure airline offer really decent quality meal airline ba stature always think good crew make shortcoming time crew member look could bored obviously go motion even bother say cheerio sure would answer hop return satisfying experience,0.92,Positive
26,never travel british airway first time choose travel ba due cheap fare available time bit unsure enjoy travel journey due mixed review would like express extreme joy satisfaction travel amazing airline see great efficient friendly service cabin crew would like personally thank ellie adam professional kind food serve delicious drink good say thoroughly enjoy flight hesitate recommend anyone try,0.992,Positive
27,terrible overall medium service flight delay help reschedule connecting flight customer support terrible request compensation still pending one year,-0.4767,Negative
28,london heathrow male new business class ba continue get mojo back start classy lounge serve innovative interesting quality pre flight food beetroot scotch egg excellent wine whisper angel presentation board food always bit hit miss ba occasion tasty ok friendly efficient board crew smile treat respectfully equal time flight early arrival award buss c gate otherwise really enjoyable experience,0.9854,Positive
29,good flight follow equally good flight rome good food especially evening flight aircraft early way short haul,0.8271,Positive
30,hour delay due late arrival incoming aircraft captain particularly able communicator keep u touch situation get freebie upgrades emergency exit seat friendly member crew end minute behind schedule relatively comfortable elderly plane pretty stress free,0.8442,Positive
31,book ba loganair representative manchester airport loganair cancel flight someone ba mark flight delay minute spend day chase ba complaint department best totally ineffective win put people deal claim apparently facility win phone loganair win look manchester airport historic flight website confirm cancellation win put supervisor fact little apologise little,0.9493,Positive
32,british airway lose bag lhr find send cologne sit two day tell one give spent day europe without bag buy clothes ba refuse reimburse close case day return state bag show front door wont let talk management say email mail call customer service say escalate never know update claim form,-0.5994,Negative
33,check process reward loyalty program mess never able get point even try partner airline unfortunately work travel sometimes time flight delay,0.25,Positive
34,fly november take long seek satisfactory response ba ultimately never receive ba refuse book son cost day due lack underground service alternate service ba force u buy new ticket never admit subject u disparate treatment fly recommend ba,0.4581,Positive
35,leave london johannesburg december issue flight pillow give u dirty year old drop juice ask cabin crew member walk past serviette tell go bathroom get clean issue pleasant certainly major problem book ba december return johannesburg flight delay january pm connect flight durban live johannesburg landing johannesburg child option ba change flight nd january request sooner date could get home sooner give january accept original time opt would convenient connection johannesburg durban unfortunately flight delay till nd january extremely upset absolutely exhaust child absolutely exhaust also suffer eczema hay fever cream medication cause eczema flare badly even lip crack burn allergy severe eye stick together stop sneeze daughter also eczema flare staff sympathy empathy mother travel alone child tell know inconvenience lady even snap try best child book separate seat even legal let alone ethical refuse help say anything approach people third person finally put u together could clearly help flight johannesburg durban originally book south african airway pay lot ticket south african airway low cost airline give cheap low cost airline cemair never even heard replace saa flight suffer flight anxiety never book low cost airline tiny flight anxiety go roof flight besides also leave huge credit card bill use pound st know ba oblige compensate inconvenience eu law besides compensation ba staff really need show empathy passenger like two hour long flight delay two day row alone child expect full compensation u far bad experience travel staff kept say get compensation wait see get compensate promise ground staff legally eu law let see put fight ethical legal,-0.9401,Negative
36,excellent flight cpt lhr return good ba move business class checkin one end hall apparent reason nice long walk check fast track security slow minute indicator board suggest south lounge half full go uncomfortably full still tatty refurbish go b pier lounge instead much good except usual staff sort try pack early bizarre way refill food container involve actually remove kitchen mean go lot time rather replenish customer side employee centric behaviour time flight transit take u c gate except transit decide stop b gate watch five maybe seven transit pass without stop eventually group maybe passenger mixed age decide descend walkway run way c gate arrive soak sweat nice start long business class flight spacious seat outdated urgent need replacement ife work reboot headphone prong bend headphones work usb port work drink bring promptly starter salmon delicious truly excellent beef tough think bad piece meat rather badly cook wine good cheese average good staff friendly good night sleep breakfast good recheck experience jnb huge hassle giant screen say domestic recheck queue get front queue tell safair saa ba local partner hassle warn tell load ba passenger make mistake overall little thing would make good fast track actually fast track refurbish south lounge food replenishment passenger area kitchen make sure transit stop even late evening refurbish ask co generally excellent way monitor meat quality rigorously,0.988,Positive
37,recent flight cyprus ba second cabin door close pilot announce would hold runway hour know prior inform passenger board flight home take nearly hour due weather condition plus hour wait ba offer hour hell flight oatmeal biscuit ml water family go cabin crew ask water tell cabin crew asleep back row seat aircraft ba infuriate previously ask spare seat year old could spread get sleep available tell flight full arrive late connect flight miss queue connection desk large queue watch ba staff clock night front u genuine support give family effectively abandon ba try speak someone helpline automate message say due number call surprise aspect cant assist hang tried several time various time think default message raise via email system unsurprisingly mug escalate week pass like say national disgrace,-0.7184,Negative
38,flight ba arrive rome december passenger receive sm ba say luggage leave london wife complete required form queue hour checked ba agent rome believe baggage would arrive last flight night pm would likely deliver next day nobody ba rome airport make contact u explain happen bag would arrive finally get luggage deliver u pm sunday december day due leave rome wait period contact initiate either ba rome agent several occasion call rome london help desks receive update year travel together never happen sheer neglect keep u inform disgust sadly ba never fly share horror story others strongly encourage fly another airline would give ba overall rating zero,0.5559,Positive
39,first time fly british airway huge disappointment seat quite good food simple service subpar heathrow airport hub far bad large airport see europe land dc email say luggage stay london last wednesday airtag could follow suitcase come washington following day thursday ever since sit airport british offer mean communication online chat bot bot tell call number england another bot say inquiry luggage send link via sm hang option talk human claim form give local phone reach voicemail keep call time today leave message say airtag show suitcase iad offering go pick need deliver one reply voicemail basically shut luggage information customer service one talk,-0.2748,Negative
40,pretty good flight still small thing improve check quick lounge good tasty food well choose wine disappointingly secure gate bus aircraft hot scrum get last bus avoid crush emirates turkish lufthansa qatar plane gate ba penny pinch turn cabin crew forget last bus ask welcome drink come champagne actually cold well ba first time manage serve champagne cold year fly big improvement cabin seat lovely always greatly prefer emirate white gold bling drink service prompt ife good starter trout ok main chicken excellent cheese sell cold wine excellent disturb night get good sleep comfy bed cabin bit warm though personal preference wake ask serve tasty breakfast small detail impossible get water c altitude maybe ba could warm ceramic coffee cup coffee retain heat bit longer pour quite hot coffee nice cold china mug mean lukewarm instantly plane record time minute park bag wait u belt excellent work ground staff overall improvement point gate bus plane forget passenger last bus board late well pushback standout cabin crew member miguel star,0.9934,Positive
41,check fine priority fast track line security boarding one lounge option first class customer mexico city american airline admiral club abysmal free bar serve cheap alcohol awful food selection nowhere shower board find seat really comfortable crew fantastic start really see consistency quality first class crew drink selection fine food appal victim new supper service basically dinner service lot less option choice fish seafood option either starter main first choice main unavailable two load fillet steak dry overcook hear least three people send back pretty impressive cabin eight passenger dreadful dessert cheeseboard luggage swiftly end good see priority tag work,0.9668,Positive
42,british airway absolute rubbish fly amsterdam urgent appointment flight cancel last minute presumably due bad weather keep u gate say plane land literally every plane airport take land zero issue another klm flight amsterdam schedule depart time take time another klm flight amsterdam later evening also take without problem one operate british airway cancel bad weather apparently weather bad every plane could land take successfully apart rebook eurostar next day would still miss important appointment intend go amsterdam thanks british airway,-0.63,Negative
43,flight time change last minute without warn assistance provide ground staff rd party agent regard impact delay help forthcoming phoneline nobody airline want take responsibility anything fundamentally unreliable airline onboard service poor even good low cost airline,0.3391,Positive
44,fraustrated flight cancel last minute end world even though early could get book three day later insane saga event proceed claim compensation legally entitle accord eu rule use claim page ok become incomprehensibly frustrate case close confirmation conclusion money try call keep lead circle customer service speak claim team claim team speak directly customer service access claim team system call later nothing could throw toy pram last call someone finally update think end confirm claim would transfer due get amount wrong write highlight say would rectify almost month since original flight cancel still receive owe compensation wife son send two email last two day yet get response criminal adhere aviation rule dictate compensation cancelled flight terrible customer service honestly belive ba capable awful service,-0.8925,Negative
45,sit plane hour forty five minute await takeoff due bad weather london understandable safety fortunately long layover delay affect however many others lucky wait give one small bottle water one tiny pack corn kernel later food drink offer purchase complaint sit idle plane nearly two hour possibly miss connect flight give u free bag chip coke ask tell british airway really cheap money grubbing,0.1779,Positive
46,british airway strand wife heathrow airport day access baggage tell airline employee purchase necessity toiletry refreshment etc reimburse claim deny ba claim weather reason delay outright lie since every airline london fly time unable anything besides stand line voucher stand line shuttle stand line reservation etc hour absolute nightmare never fly ba,-0.5719,Negative
47,although like many day avoid ba long haul london heathrow due perception poor service lack customer service thing go wrong pleasantly surprise recent flight belfast aircraft actually leave time arrive ahead schedule cabin crew look bored uninspired often ba read time really matter quiet flight say emergency exit unchallenged handy would fly ba press,-0.7584,Negative
48,flight british airway best flight attendant outstanding processional attentive helpful food good seat lie flat bed comfortable love smart design club world cabin wonderful flight home,0.9814,Positive
49,bad airline ever fly cancel flight hour departure even contact put new flight rebook next day also leave find accommodation nightmare refuse compensation leave stranded onboard service also archaic outdated plane old airline fly food service bad ever experience travel airline emirate etihad thai malaysian qantas cathay ua etc fly ba,-0.891,Negative
50,disappointing service plane interior terribly incompetent customer service book flight directly ba website soon start get emails say select seat pay extra selection change ba without reason give direct website find information say seat change happen several time flight altogether website seem digital dinosaur first leg flight fine discover transfer area heathrow forget new laptop onboard immediately contact ba call customer service oxymoron basically say anything would wait cleaner work contractor would finish job hope would discover laptop return call lost found airport ba customer service say contact colleague terminal gate plane still let know lose laptop seat plane yes tell exactly laptop take contact detail either notify laptop would return refuse register incident simply interest assist even make attempt pretend communication via online customer service poor even respond message end email representative heathrow reply message form supervisor reveal name duty british airway find lost property behalf passenger however would like dispute contact customer relation online feedback take responsibility refer smartecarte contractor clean plane apparently collect lose item heathrow receive laptop worth thousand gbp back week later flight london cape town hour unpleasant flight attendant seemingly unenthusiastic job take hour collect trash meal also distribute extremely slowly food good boarding slow inefficient drink offer twice otherwise ask especially long flight seat fabric uncomfortable room scarce relax sleep fly british airway disappointing keen fly,-0.9264,Negative
51,transit visa require partner transit via london iceland buy separate ticket via another airline reach iceland email british airway tell win use return ticket request partial refund day later receive email customer service need contact one service centre via provided link reply say link go page various british landline phone number call explain overseas practical via international call reply say contact service centre airline end take money regardless,0.6369,Positive
52,surprise receive confirmation pre flight kgs luggage allowance later confirm one kg check another kg carry seat third kg carry overhead stowage checkin open bit late line executive club member even later courteous efficient long queue passport control fault brexit ba seat screen earphone socket charge point seat recline board music low cost carrier captain announced wonderful service emily crew maybe club class economy cabin announce would serve complimentary water snack snack come also announce would free text messaging exec club member get work although member snack sell twice tui price example cadbury chocolate finger choose ba time book cheap charter carrier british forget ba impeccable safety record normally reliable service land purser thank crew hard work seem push one small cart aisle four hour constitute hard work ba least time,0.9423,Positive
53,flight cancel refund money say take flight never happen refund new flight book hotel food strand provide food water wait hour tarmac provide information refund flight never happen say information,-0.25,Negative
54,visa issue hence debar fly ground staff mumbai excellent woman name brinelle helpful understanding rebook ticket original journey consist legs ba force rebook entire ticket system allow rebook one leg even though gap day two leg like connect flight telephone operator rude take minute keep say need minute give clarity horrendous final price offer rebooking leg much original fare leg torturous ba horrendous website allow poor experience,-0.0772,Negative
55,singapore heathrow ba two choice route economy premium first much club world win suite check easy security passport control singapore efficient choice lounge ba qantas qatar latter win easily ba lounge ok major negative qantas win space boarding time aircraft high density club world cabin service fine club suite good food beverage target feel st meal starter good main beef fillet average sentiment cheese wine acceptable champagne choice cheap try service meal efficient give full cabin breakfast similar menu suggest might want skip main course opt starter dessert work ba major shift lounge option source present would need slept well arrive early luggage quickly reasonable flight overall warning ba food beverage club world drift wrong direction,0.9821,Positive
56,recently travel munich london british airway turn absolute nightmare trouble begin malfunctioning app despite check successfully unable retrieve boarding pass upon arrival airport discover self service kiosk check desk completely unattended seek help information desk direct staff member clearly want assist u dismissive attitude infuriate despite show app indicate check simply tell u call customer service walk away without provide assistance put hold minute send several different staff member help u finally reach someone phone kind ultimately powerless resolve issue point flight delay waste two hour try print boarding pass follow complaint british airway basically dismiss concern tell use app next time ignore fact app failure cause problem first place experience cost u staggering additional expense include new flight hotel stay taxi fare fine miss work explain absurd situation employer incredibly embarrass british airway clearly need improve customer service technology app website go fail must provide adequate support airport never fly urge others consider alternative airline,-0.8104,Negative
57,pay seat b flight heathrow boston pay premium economy seat upon arrival airport ticket agent say healthy enough sit purchased seat due old presume since reason find could sit exit seating healthy enough walk mile day adequate upper body strength attempt convince get u stick cattle call seat rear aircraft second floor middle two seat row tell money would refund immediately inconvenience several week recontacted ba say complaint go wrong section forward next section week later still hear update except computer response state refund return week keep wait plane ground difficulty need quick repair complete minute later board flight captain come say look like forget order ground crew back u terminal need wait another minute able make lost time air land hour later schedule wreak havoc next flight,-0.6249,Negative
58,flight bad although inflight entertainment great screen old fashion hard operate dark touch screen work time though remote cabin crew slam air larder oven draw apart cabin crew nice food good seat comfortable,0.8555,Positive
59,decide treat teenage daughter world traveller plus return leg canada holiday pay hundred pound extra end spend nine half hour trap broken seat star blank screen entertainment system fail work buy book upload film assume would enjoy entertainment ba promise decide lie back get rest instead discover leg rest seat work flight attendant able prop manually shove thing underneath unfortunately make matter worse become firmly stick position force body awkward position descent keep seatback upright leave back pain last three day bad low back early experience ask move economy could sit normally watch film flight full space apologetic flight attendant assure would receive compensation assume meant airline would least upgrade u next time fly ba since unable enjoy advertised benefit world traveller plus two u one suitcase make use extra baggage allowance ba actual compensation offer worth avios point write back since ba allow direct telephone contact complaint department explain firmly politely fair acceptable give hundred extra pound pay added extras airline fail deliver ghost experience cautionary tale british airway customer support go plan may well pleasant world traveller plus experience anything go wrong support staff wash hand money waste unless prepared gamble would advise either stick economy world traveller since really pay fly b manage fly another airline could end like throw away extra money experience fell far standard economy class flight canada would recommend airline air canada turn uncertainty covid pandemic exceptional customer service fast nonsense refund cost bit life return normal post covid start fly ba believe high standard customer service longer important see mistake false economy one end cost hundred wasted pound,0.2748,Positive
60,impressed efficient board relatively compare air canada comfortable seat quality food drink snack frequently offer overall fuss bother experience,0.7783,Positive
61,flight schedule left hour minute alter due late arrival incoming aircraft naples result miss connection istanbul dubai nothing unusual issue acknowledge captain plane late since morning flight rome rolling effect evening case whey ba contact passenger could make arrangement fly early istanbul miss connection result charge long delay ba certainly lot staff could inform use email text obviously passenger utility ba ticket purchase trust ba travel poor handling simple matter,-0.2023,Negative
62,fly ba year american airline ff give ba gold member ba year thing notice last year ba flight attendant get lazy complacent clean bathroom serve meal food ba deteriorate point able eat garbage give gold status almost meaningless big scheme thing never able upgrade business first use avios point accumulate transcon flight fly ba partner american airllines easily get europe switch back aa ff program already much good ba use splendid airline another poor airline european market,0.8357,Positive
63,arrive mexico airport tell flight delay aircraft break replacement aircraft lhr six hour late eventually manage check tell contrary ba website could access hour grand lounge elite instead would use american airline admiral club lounge would close three hour flight leave would use restaurant give food voucher two hour flight due leave inform aircraft divert cancun volcanic ash cloud mexico city although appear affect flight airport include europe eventually arrange taxi take u hotel arrive assure would ba flight leave time following day contact local employee stay hotel say organise transport refuse give u contact detail eventually need transport following day disappear night send email tell u book onto air canada flight leave would impossible short notice without canadian epa authorisation spend two hour try make contact ba mexico number work eventually put aeromexico flight economy tell u check soon could meant pay extra seat later long call tell could upgrade business aeromexico despite tell earlier availability ba inform u already check suggest could move take three call aeromexico sort totally understand aircraft break onus airline rearrange passenger lucky take trouble make call uk others disabled lady tell nothing leave,0.165,Positive
64,fly british airway many year still regularly one last flight past summer paris boston british book connect flight paris london give maximum minute connect london london heathrow massive airport go terminal terminal could take minute deplane include actual time deplane seat back line passport control security terminal already one press time flight paris london day tardy minute tardy day exact ba flight fact routinely tardy bother one flight connection assist call new gate let know previous flight delay rush gate minute connecting flight depart run like fool minute carryons arrive gate minute flight depart greet plane agent say since one knew false plane leave without early gain minute important passenger inconvenience delay make minute trek back flight connection know would rebook following day go miss wedding destine attend boston send prepaid hilton hotel room night tell would pay pound way taxi take give pamphlet instruction reimbursement early july take month complaint british centre effective dispute resolution reimburse equivalent apology recognition even free drink coupon next flight win ever take british like bad insurance claim british keep deny claim expect would go away well go away take use another airline future travel,-0.4898,Negative
65,buy ticket geneva london flight get airport tell airline oversold ticket flight passenger early cancelled flight give seat flight explanation allow,-0.0258,Neutral
66,appal service fail defective fleet aircraft flown four time route return significant delay hour every time ba board pm october flight cancel technical reason six hour return custom recover bag ba management johannesburg night far four hour organise hotel transfer queue people check room eventually access attempt schedule assist pilot try announce process,-0.836,Negative
67,british airway charge pleasure choose seat put back club turn advantage mean could get seat without climb anybody seat clean later discover foldout section would stay foot dangle edge bed extend board complete tell departure delay ba load cargo tell delay far fault one fuel pump take five hour problem correct pilot later inform u instal new pump initially think software issue time serve meal tell alcohol permit curious give already serve pre departure drink cabin crew male apparently base mexico turn pleasant surprise give speak incredibly positive friendly seem embarrass happen know old style seat less acceptable ba petty penny pinch competition small hot towel ba would winner food sound nice look impressive seem totally tasteless,0.973,Positive
68,wrong guy people pay lot money business class ticket sit squeeze seat legroom nothing clean overhead locker empty want put bag seat room leg anymore serve food rubbish staff demonstrate british arrogance manner decent polite service anymore really difference easyjet european route,-0.8644,Negative
69,book two business class seat british airway july flight september tell september heathrow airport flight cancel could one business seat another flight different airport one british airway contact u apologize offer refund business class seat lose file complaint british airway ask reimbursement september hear word october bad flight experience ever terrible customer service zero communication customer cannot even find phone number call british airway website,-0.8957,Negative
70,fly many airline recent experience british airway leave much desire flight entertainment underwhelming disappoint lack basic amenity comfort kit essential like eye mask positive aspect slightly generous legroom overall find service far expectation impress,0.9301,Positive
71,recently fly new york back london ba first long haul however first time travel world traveler plus board aircraft time stress free first impression good cabin clean leg room good recline seat generous combine footrest quite comfortable wait seat decent quality cushion blanket well amenity kit amenity kit contain good headphone sock eye mask lip balm pen toothbrush toothpaste boarding complete offer pre departure drink orange juice water champagne option crew friendly professional upmost ensure everyone happy air offer hot towel another round drink time lot selection drink offer several time throughout flight menu also hand long take starter quinoa main choice chicken meatball pasta vegetarian mushroom dish choose meatball really good real complaint flight people get dish wish sit last row premium economy cabin time meal service get u chicken dish go moral story sit front cabin likely get preferred meal option meal choose watch show well size entertainment screen ba definitely best inflight entertainment finally hour land serve breakfast snack come form warm egg swiss cheese bagel edible also little soggy really taste much certainly wont crave one anytime soon touch heathrow time disembark aircraft pick bag everything efficient way time,0.9956,Positive
72,ba business class europe seat economy simply empty seat next many true benefit flight meal lounge access priority security etc problem flight small child age around five sing incessantly extremely loud voice throughout flight aware difficulty fly child know difficult keep entertain etc patient person headphones parent child choose despite polite request try quieten child point one expectation crew step single loudly disrupt passenger would quite rightly ask desist speak parent child disrupt rest sleep passenger instead serve meal crew retreat behind curtain leave passenger stew simply good enough wifi forget,0.5719,Positive
73,flight start seattle wa head lisbon portugal hour flight hour layover board flight ba lisbon head runway plane stop pilot say small mechanical issue mechanic route hour tarmac flight crew announce go offer complimentary water really another half hour go say flight cancel reason time wait bus remove passenger plane announce staff member back gate help meal voucher taxi ride hotel accommodation get bus line passenger try figure happen staff hand wife meal voucher say go upstairs someone help issue go upstairs nobody know one staff member hand u paper hotel room tell u get luggage keep receipt taxi reimburse nothing else ask another flight say contact asap contact walk away grab luggage head taxi line drive hotel receive email flight next day different airline iberian assigned seat together get hotel barely fit shower double bed lb wife crazy get little sleep nothing eat another taxi ride airport try use meal voucher good prior day go first customer service line authorization issue new voucher finally third customer service line someone issue u new voucher finally make destination day half later still pay room even use cancellation ba refuse reimburse u first night miss file claim ba nothing far never fly ba,0.8752,Positive
74,british airway flight edinburgh get delay h min connecting flight part ticket literally run next connecting flight british airway lhr delhi bonus trouble surprise land delhi get know luggage miss assure luggage deliver address today th oct receive yet show luggage bbi air port apply leave collect detail point contact enter air port without ticket sort trouble face,0.5358,Positive
75,british airway world traveller plus premium economy product need improvement justify high cost economy yes seat leg room far superior flight crew excellent however lunch dinner average wine selection poor like airline ba provide revolt snack prior land snack serve economy choice entertainment also require improvement ceo sean doyle serious elevate ba one one world best airline work need provide good customer experience,0.9747,Positive
76,ba barely step low cost airline try dime nickel everywhere possible find cannot select seat check anymore baggage next time go low cost carrier since virtually difference anymore,-0.4445,Negative
77,happy flight crew plane year stress make comfortable want say thank flight crew help relax go back france go british airway,0.9118,Positive
78,horrible service board land flew london marrakech disappointed arrangement board food horrible staff arrogant seat super uncomfortable h min flight business class today take flight marrakech london recommend,-0.8591,Negative
79,wife disappointed fly british airway flight cancel airline fly addition seat change multiple time without explanation people work rude customer orient,-0.7964,Negative
80,fly ba heathrow berlin one way connection experience ba ground staff heathrow good friendly helpful check baggage drop crew flight also good captain provide general information welcoming suitable casual efficient way flight steward also friendly hand water small snack chocolate bar unexpected hr min flight seating typical class aircraft ticket cleanliness optimal could improve memory slightly delay departure heathrow slightly reduce arrival berlin issue u berlin destination connect concern baggage arrive safely berlin understand ba negative review customer experience occasion positive would happily recommend use ba,0.9874,Positive
